image_id,context,original_description,enhanced_description,file_name
1,home_life,A mother serving dinner to her family.,"A warm and cozy family dining room, a loving mother serving dinner to her smiling family, bright and expressive faces, joyful poses, two children eagerly waiting, simple yet charming background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), soft warm colors, 2D anime.",1_home_life_9cbfbe51-00b2-c1bb-da6c-686352152099.png
2,dating,A couple eating a simple spaghetti dinner.,"A couple enjoying a simple spaghetti dinner, their expressive faces and animated poses evoking joy and intimacy, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, soft and warm colors, gentle lighting, simplistic background with subtle details, table set with minimalistic decor, cozy atmosphere",2_dating_43723051-f1c0-f50d-56e9-2c6c5372a78b.png
3,education,A teacher lecturing her students by writing on a blackboard.,"An expressive teacher lecturing her students, her face animated and enthusiastic, writing energetically on a large, simple blackboard, students' faces showing curiosity and engagement, simple classroom background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, cartoon, vibrant colors, soft shading, warm and inviting atmosphere",3_education_c3055694-724b-0a8a-cd1e-7808588e0455.png
4,sports,A couple of friends playing soccer outside.,"Two friends energetically playing soccer on a sunny day, expressive faces and dynamic poses, simple grassy field background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, vibrant colors, joyful and playful mood, clear blue sky, light shadows, detailed characters with flowing hair and animated clothing.",4_sports_8304d4a0-3139-c84a-31e6-53ac0a28b31b.png
5,internet,Friends sitting next to each other and sharing memes on their smart phones.,"A group of friends sitting closely together on a wooden bench, sharing memes on their smartphones, expressive faces filled with joy and laughter, surrounded by a simple, hand-drawn background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime style, vibrant colors, warm and cheerful mood, smooth lines, clear and detailed character expressions, minimalistic setting.",5_internet_8ae555a9-6884-8be4-9dcf-2f61988cabee.png
6,jobs,A software engineer programming on his computer with 2 monitors.,"A dedicated software engineer intensely focused on programming on his dual-monitor setup, surrounded by a clean and minimalist workspace, expressive face showcasing determination, simple background featuring a few essential office items, character posing confidently while typing, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, fluid lines, soft shadowing, capturing a serene yet motivated atmosphere",6_jobs_a9bf2c1f-6c50-1963-6f59-0bce1eb2fba7.png
7,home_life,A family watching a movie together in the living room.,"A family with expressive faces and dynamic poses, sitting together on a cozy sofa, watching a movie in a warm, inviting living room. The background is simple yet charming, with soft lighting illuminating the room. Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, vibrant colors, heartwarming atmosphere, detailed facial expressions, gentle shadows, smooth lines, minimalist background elements.",7_home_life_131a9277-bd0a-e55d-2a3d-c10ffa44fed4.png
8,shopping,A woman buying fresh vegetables at the market.,"A cheerful woman with a bright smile buying fresh vegetables at a bustling market, expressive face and pose, colorful stalls, lively atmosphere, simple background, (illustration by Studio ghibli style, Art by Hayao Miyazaki:1.2)",8_shopping_123edabb-0bff-a3c2-9c76-22c806f91b2c.png
9,transportation,A man waiting for the bus at a bus stop.,"A man with an expressive face and a relaxed pose waiting at a simple bus stop, surrounded by a gentle, minimalistic background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2). The man is casually dressed in light, breezy clothing, holding a small bag, with the bus stop sign prominently displayed. The scene captures a serene, calm mood, with subtle, warm colors and soft lighting. The composition focuses on the man's anticipation and the simplicity of everyday life.",9_transportation_3667a8c5-6db9-6d31-ed58-72c30d1f94a2.png
10,healthcare,A doctor examining a patient in a clinic.,"Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), a warm and inviting clinic with soft lighting, a friendly doctor with a gentle smile examining a patient, expressive faces, caring and attentive poses, minimal background with soothing colors, simple 2D anime-style characters, clean lines, and subtle details, comforting and calm atmosphere.",10_healthcare_66d2ba7c-5969-c7db-945c-43e8a06d249f.png
